RAEKE+LB (fixed),RAEKE+LB (inv_cap),KSP+AD (fixed),KSP+AD (inv_cap)
1.0,1.0,0.7800063591129124,0.7784554054092504
0.7901143449979188,0.8843883910589196,0.6231617538141185,0.6231617538141183
1.0,1.0,0.9404145898253474,0.9500000000000001
0.8679790742871804,1.0,0.9499999999999997,0.9044936682319897
0.9733702096468271,1.0,0.9499999999999998,0.9500000000000001
1.0,1.0,0.9499999999999998,0.9499999999999998
1.0,1.0,0.9380530890469996,0.9500000000000001
0.673243784389422,0.48734005413887466,0.4672655795226102,0.3800921101137002
0.9659764948129977,1.0,0.8612001106900192,0.7908161975554648
0.6349295925657288,0.6078236850098179,0.8666155289917055,0.8321603940344751
0.38677939595071287,0.38746594713004207,0.7496450864606365,0.8000000000000002
0.32440377005265564,0.22130039711216293,0.5270066227581752,0.5108105496163948
0.8721024746184095,1.0,0.8761231405139469,0.8333531834701001
0.9956825790896225,0.9495940915979281,0.8297136392153663,0.8297136392153662
0.8746526431070057,0.874652643107006,0.8000000000000002,0.7999999999999999
0.8964972289868104,0.7847253208867501,0.8249189334415377,0.8249189334415372
0.7243978738749911,0.8366320189888492,0.9500000000000003,0.9307711932506106
0.6914935217845809,1.0,0.9276811294879614,0.95
0.9461497069212415,0.8048781925043925,0.8096087646169832,0.8096087646169831
1.0,1.0,0.9000000000000002,0.9412400301623273
0.9029971399588467,1.0,0.7999999999999999,0.6858295981834874
1.0,1.0,0.9499999999999998,0.8388987704597671
0.8097282466422191,0.9301121835711295,0.9499999999999998,0.8999999999999999
0.8522120026772043,0.8218359497265548,0.6710263191926222,0.6710263191926226
0.3518036533579126,1.0,0.7562416173923892,0.6863095886939399
0.7086749078196919,0.9973749443110935,0.7451392173865945,0.7118255520431211
0.41280237248593876,0.5953619373620949,0.6666666666666665,0.6666666666666666
0.8363910026094797,0.8269974053915985,0.8432255103869638,0.8000000000000002
1.0,0.9204867358531881,0.9,0.8999999999999999
0.6468495427910814,0.6733682642320986,0.8304240738146006,0.8304240738146009
0.8827136222881706,0.9143592972739949,0.8999999999999997,0.8716659938844561
0.8272466415692278,1.0,0.6876173412987758,0.6660072333872928
0.7363662339855511,0.8258074760356557,0.9499999999999998,0.9499999999999998
1.0,1.0,0.8999999999999999,0.8331378575657661
0.5861704994954102,0.5696234576204374,0.8498202473688602,0.8498202473688602
0.8852959435698838,0.856189175606626,0.8532499481134106,0.8532499481134107
1.0,1.0,0.7954466069614294,0.8391668361923104
1.0,1.0,0.9,0.9000000000000002
1.0,1.0,0.8999999999999999,0.8993737129136715
0.9146626057253578,0.8823588665314166,0.6666666666666664,0.6666666666666665
0.5139028121270787,0.469372526683156,0.5195707076761363,0.5195707076761361
0.5532222076245337,0.5568266472734109,0.4546749092629621,0.45305951012599477
0.7257472232982973,0.33309988876121494,0.6666666666666666,0.6666666666666666
0.5572988024038973,1.0,0.602030510889969,0.6020305108899692
0.8070558046562822,0.930188592945018,0.5998748498239697,0.5998748498239697
0.49816828162538435,0.6153244415658993,0.7999999999999996,0.7999999999999999
0.7156069402374016,1.0,0.706352880664264,0.6678447776724948
1.0,1.0,0.95,0.943801243648718
0.7203182837764829,0.6162788320781661,0.8218440062133127,0.8360799592744175
1.0,1.0,0.95,0.9499999999999998
1.0,0.978425174019717,0.95,0.9
0.7481566155981939,0.8621457248858362,0.38196827216775814,0.3009829794458427
0.7106364533648672,0.9418724257911376,0.6204953831879652,0.568598235689081
0.7198029155845767,0.7455587308272829,0.6520330894261763,0.6563872713915783
0.7272071543541077,0.7365776161153145,0.9000000000000002,0.8898091874711008
0.7740469957180073,0.7563635446110426,0.6666666666666666,0.6666666666666666
0.637683205293787,0.9222826998817056,0.5349602392425703,0.5050594413922284
0.5944820318403057,0.7270696050131976,0.7527620522715608,0.7527620522715603
0.6595701668904027,0.88814733885286,0.5688935720574476,0.5815658227561001
0.9558470079310653,0.92432008264445,0.5345553641864936,0.5345553641864933
0.7439513434977889,1.0,0.7963760455879947,0.6480541831060791
0.6895230563998155,0.7668168788924908,0.8155153406129657,0.8113006914415454
0.6661499850887185,0.38766603589957754,0.6848515734417504,0.6722824440661103
0.62658198131562,0.8000722417007434,0.511666896982465,0.36877094503460994
1.0,1.0,0.95,0.9500000000000001
0.6598409439357857,0.8175415493436354,0.8999999999999999,0.95
1.0,1.0,0.8999999999999999,0.9
0.559999557324844,0.5406051576180244,0.596539805078979,0.6478026613914091
0.5130735617572623,0.6084901024044741,0.8,0.7999999999999999
0.6992702648106653,0.5574438855895103,0.534205207524182,0.5342052075241822
0.6787078023074098,0.6547555907307621,0.6946451346461991,0.694645134646199
0.7955830444257871,0.8197653902697133,0.6194414258312305,0.5880094011655657
0.5690975026071388,0.7262894287800942,0.5783612866332397,0.5562387573477389
0.9942459284385537,1.0,0.8304634803943614,0.8563333661988705
0.8087892893902826,0.8987230064055751,0.8,0.7999999999999999
0.7004976173018342,0.7687275218684362,0.7992330273210353,0.8303915355148396
0.6698210900642512,0.7343445580684775,0.547470148112365,0.6300830180556113
1.0,1.0,0.901087661111022,0.95
1.0,0.9437399717094371,0.9499999999999998,0.95
1.0,1.0,0.7605110074509188,0.7124611599380904
1.0,1.0,0.95,0.95
0.6601851890080183,0.6841228936670866,0.7029398606101317,0.6472229543302597
0.6858742838198365,0.738172157285818,0.9499999999999998,0.865752437882104
0.3694543947107454,0.48760585213297175,0.5784690691001104,0.551961350786703
0.35382851222693995,0.51813930106075,0.655584645078597,0.5968059871706397
0.862778463727604,0.8836043192712626,0.7278562565850674,0.7178750080991976
0.7034722981682887,0.7502771485657409,0.4962519865594536,0.5229621369525587
0.5282456597510712,0.806058907227606,0.8,0.8000000000000002
0.6538092664996985,0.9982673117219086,0.9,0.9000000000000001
0.9239657656310736,1.0,0.8681557425106167,0.831441269227651
0.7333426477587779,0.798590171947987,0.7609910683441261,0.760991068344126
0.8840518775574949,1.0,0.8999999999999999,0.8999999999999998
0.7832596401680368,0.7461979033869144,0.9499999999999997,0.95
1.0,1.0,0.9499999999999998,0.9499999999999998
0.9437850631802319,0.8954049014799378,0.7070070567005868,0.656490347891971
0.6014695821606206,0.7000780724893845,0.6023834834572267,0.5149488577291284
0.34171684966808313,0.6773504759068449,0.7037612915230953,0.7380482596166996
0.6198046551831268,0.7016952649421937,0.7988791690048137,0.7936913338646027
0.8108913222390283,0.5702770414003806,0.8022102523851117,0.8022102523851115
0.6607087513439892,0.6246656086548407,0.7812567963921802,0.7511042594047741
0.8292077745995232,0.8398930104702877,0.47737155206011206,0.47737155206011184
0.6191964622127176,0.6555734575559602,0.4016529179455984,0.3882949518859453
0.5912255690454418,0.5154348463534518,0.3655801494483565,0.3655801494483566
1.0,0.9995804301096016,0.49215048410418893,0.5358116590488466
0.5881348376245714,0.5594671283472318,0.568710381244894,0.630188262727213
0.6770962847364062,0.6947709409643102,0.6086377752550712,0.5600541995962148
0.9439114725448405,1.0,0.881637702503456,0.8236230534890041
1.0,1.0,0.95,0.9499999999999998
0.9271679332736729,1.0,0.95,0.9499999999999997
0.9721755574633772,1.0,0.95,0.9499999999999998
0.7461648154707973,1.0,0.9499999999999997,0.9499999999999998
0.6965215859064101,0.6097396950974933,0.9499999999999998,0.8999999999999999
0.9844709383231979,1.0,0.9,0.8999999999999998
1.0,1.0,0.8464572850101018,0.8464572850101014
0.7349491972489812,0.9539599972389213,0.8,0.8
0.6732980886448223,0.6732980886448225,0.5922582587176647,0.5788992988584354
0.7315533257277246,0.7063850560810089,0.572497143536115,0.5512743842426239
0.5266374106686951,0.8383165450987519,0.7176556690974804,0.7310017496799455
0.8172357132092437,0.8912056963579622,0.8,0.8
0.5382456499699202,0.636674976660418,0.8602678213978493,0.7284206662785585
0.900185573906448,0.9677645905187516,0.6743666962071221,0.6743666962071219
0.8514809774485884,0.9233091859851342,0.7379405256862839,0.7694997242231832
0.5626150078854079,0.634180852940003,0.3008755539680184,0.32674099609932733
1.0,1.0,0.9500000000000001,0.9500000000000001
0.5152617350240466,0.6053714474440933,0.5540398020076533,0.4724172326821606
0.609866889224312,0.3760073835429892,0.6483792622225556,0.6483792622225556
0.9711305804503658,1.0,0.7734936956296828,0.7734936956296832
1.0,1.0,0.95,0.9499999999999997
0.35706789205282186,0.3638033957305531,0.7999999999999999,0.7999999999999999
0.7399660351096239,1.0,0.6216901631384733,0.6216901631384733
0.8210487637785471,1.0,0.9500000000000003,0.9500000000000003
0.7268091591202436,1.0,0.5762312304442201,0.5762312304442202
0.9442695642177454,0.9863456041561448,0.8000000000000002,0.7234276470294104
1.0,1.0,0.9000000000000002,0.9000000000000002
0.8644587814243777,0.9416706685579193,0.9441299985054649,0.9500000000000001
0.8982958629404618,1.0,0.8122879466950093,0.8122879466950088
0.713253189588896,0.7629640795392626,0.8475858203423717,0.8475858203423717
1.0,1.0,0.9499999999999998,0.9500000000000001
1.0,1.0,0.9499999999999998,0.9500000000000001
1.0,1.0,0.9499999999999998,0.95
1.0,1.0,0.9499999999999998,0.9499999999999998
0.6094535981353322,0.763211480602343,0.6287173943747941,0.6287173943747945
1.0,1.0,0.95,0.9500000000000001
0.6514997249225672,0.7404176666403405,0.36724664690129966,0.37005596412928105
0.7910434426576578,0.8848220023763097,0.6333724603547318,0.6176609136732576
0.3366378079096161,0.3576768773105354,0.6666666666666664,0.6666666666666665
1.0,0.9481131103970947,0.637447176297019,0.6374471762970184
