RAEKE+LB (fixed),RAEKE+LB (inv_cap),KSP+AD (fixed)
97.89653044,97.95838551,97.96079531
96.37550106,96.49104334,97.17641065
95.81764613,95.52203888,97.72560079
96.55764069,96.07875035,96.25492767
96.96544777,97.27398938,98.05883803
97.04147959,96.72681693,98.98760765
98.33912958,98.24738322,99.49161553
97.63574226,97.94830438,99.51124327
97.69533157,97.01125951,99.23194911
98.0879971,97.63904797,99.0921381
97.01998034,96.8879158,99.46856124
98.49757596,96.9367461,98.84541371
97.64586006,97.63990788,98.84356938
97.46631751,96.66234419,97.97930938
97.26361937,96.68669023,97.47001678
97.65517944,95.94670395,96.82304628
97.0261305,95.50530935,97.14122664
97.47153704,96.86697856,97.45231841
97.33668329,97.21613949,97.6662295
96.9273045,96.34894197,97.71409861
97.58468884,96.7249353,99.20580016
95.90850871,96.76868586,98.43517855
97.09177802,98.30129912,98.81822463
98.59119646,98.37227016,99.25667433
97.78479957,96.62465382,99.1529405
97.70663334,97.56034769,99.1910976
97.74678995,97.71601138,99.39839409
97.57128252,96.859055,99.05128212
97.28775368,97.08241354,99.24107147
96.42124687,95.81472818,97.92195741
98.03508005,96.70714326,97.11252938
97.84574975,97.05321656,98.3910593
97.20721858,95.71316873,97.55223939
95.79050818,96.80596034,97.73119686
96.86194387,97.1915293,99.09192788
97.25657576,98.0768181,98.65876466
97.29270219,97.76333829,98.80757397
98.45210121,97.63551571,99.47770388
97.61744767,97.50469545,99.37773682
96.92059421,96.49822161,99.39359203
97.95237509,97.26848038,99.2273889
97.95627904,96.42042725,98.86323045
97.60710783,96.37289371,98.99412457
97.87032608,96.1706985,99.26116439
97.80468691,98.08393917,98.37713763
97.38808547,96.52579005,97.44817487
96.58905198,97.12475286,98.73267113
97.05593697,96.39474575,97.67791568
94.89660735,96.37374199,97.154466
96.37130908,97.25172859,98.03634844
96.59297377,97.44679715,98.46826142
97.36006246,96.75438689,98.68055656
97.51882234,98.24293946,98.97636624
97.71203417,97.36840908,98.98565801
98.2303867,98.47674985,99.69324625
98.05297302,97.32992163,98.91702412
97.47506666,97.46038772,99.1589427
97.34032638,97.4809604,99.26758128
97.98346644,97.19306079,99.41978721
97.08412839,97.78151497,98.1440202
97.60276638,96.35298857,98.93749168
97.17080082,96.7054905,97.65763007
96.84698186,96.59805154,98.60574868
96.95118083,95.55697079,98.03233707
96.96362416,96.30507922,98.42751201
97.48541461,97.39727531,98.82217798
97.30928466,97.58862411,99.63871013
97.55024897,96.86464586,98.73463033
98.23164095,98.44052264,98.85075059
97.09724691,97.55966946,99.02136008
97.49163021,98.28813039,99.41069604
97.83443987,97.10292525,99.02301934
97.34936782,97.52769316,99.34216888
96.33022429,96.60303619,98.12494521
96.57880684,96.82894228,97.81503018
97.1283433,96.22969519,98.75139781
97.62530334,96.18333024,97.43620637
95.85883931,95.27264147,98.3229075
95.65973038,96.45020204,98.22972827
97.0752712,95.94800699,98.06413288
96.3108805,96.40279964,98.84619272
96.95023617,97.63859853,98.11656336
97.92333078,97.71289713,98.79140717
97.58318828,97.3129147,99.0343678
97.69548287,97.94358754,99.57502729
97.83685579,97.92139411,99.70765534
97.72178851,98.18601555,99.55614436
97.05413313,96.96175797,99.31222814
97.33444555,97.58263235,99.5052386
96.89622157,96.51875379,98.55488384
97.02884342,97.09890837,98.9127635
96.45503621,96.44178515,98.17805275
96.32221981,95.55174763,98.72300467
96.8563429,96.47390954,97.43518313
97.31681563,96.66240764,98.76261125
96.95829341,96.59709191,99.71451812
96.95214678,97.94851055,99.09936432
96.80530122,97.00067544,98.48847921
96.56088334,97.35058332,99.43645558
97.19336279,97.97288232,98.83726367
97.6620757,97.82591899,99.00382962
97.96580775,98.69436358,99.0516226
96.47844432,96.36740213,98.6570008
