KSP+LB,KSP+AD
70.6202194212642,62.59307235428165
72.4866290145301,71.2785185309546
93.55112308864584,94.39206115146455
88.11094553206593,87.22983607674527
88.36740278332925,87.70520906814004
100.00000000000003,99.99999999999997
100.00000000000003,100.0
65.69162927473837,65.03471298199098
86.82675151580814,87.63469787787224
87.15066346160602,89.66755865004292
56.39853292306132,55.834547593830706
83.03204869589607,82.41984039802384
84.12998507507527,87.07228582648482
94.0233988900804,95.72142639094945
74.30364524342617,79.81786120878903
60.05872568167637,59.16215246450115
93.48436563298283,94.02428315341749
78.96320014362405,78.63177585133575
71.72644997049974,71.72644997049974
68.04842579248663,66.91428536261185
96.01327969849123,95.01636447761274
83.47787810746044,82.64309932638584
64.65793104725105,63.5802988631302
100.00000000000003,100.0
72.14898005481736,74.6148877056133
84.23664723324886,89.75645734116804
81.73702187323124,81.73702187323124
77.46293686779228,76.17188791999573
81.49373254329038,81.29277319951821
100.0,100.0
84.23236614466958,83.37074388101857
100.0,100.0
68.70176510992964,75.69378931282539
83.20702841370245,81.8202446068074
89.69747179079405,92.96445085196157
81.65618905480893,81.20958337356463
69.02242533069764,63.694450624168695
71.1497855162554,69.96395575765115
80.7897221714155,79.98182494970135
100.0,99.2575109848167
73.64374378595299,73.64374378595299
89.79365344669986,88.29709255592154
94.91789147294939,94.21563255955601
76.22830099303893,75.67700760982022
88.26659309022685,83.8979785664938
100.0,99.99999999999997
71.35277426414333,70.16356135974095
85.50718232670516,85.50718232670516
93.98450370414459,94.52876975123095
63.00517614349667,63.05467732999763
88.74047454236124,91.67642039432822
100.00000000000003,100.00000000000003
77.52918442194728,76.7538925777278
100.0,100.0
92.4648476798123,92.56239117415221
66.78146122629059,66.22494904940484
65.45226258137613,57.359354538155536
100.0,100.0
85.29074257158392,88.96805692868793
91.40767408850809,90.75476213073304
79.50703130051707,86.4094069656487
80.16254010561458,81.32108098238656
92.81110244797844,92.81110244797844
67.81269866376192,66.74158265385047
73.32447565464552,65.8952763671786
83.2666003579398,81.87882368530747
71.5299043228982,71.5299043228982
97.23025409811551,97.28275917998933
77.12689276496377,83.6120132906995
89.14368298789334,86.36666985647425
90.97645888746432,90.44412684538149
81.20442979111446,77.60140590241204
64.4928491524849,68.84705160358756
100.0,100.0
94.2426221785526,94.54936300415741
87.49849945194691,88.50642834384415
73.07087911528883,82.58200816433484
88.96012603789163,87.83456124035757
85.71404701868462,80.78384840901266
86.53242983554283,89.17299391364119
57.17779614169064,56.463073689919504
86.27929859825551,85.62986955182804
70.4834648074821,69.30874039402404
65.84539658796311,63.85896437306021
79.29040147709279,80.07053587715279
61.63434796201395,61.00905837432356
79.99830521195888,84.02097303701716
83.8919067333907,86.32771732703645
93.15248488542814,94.97410816119437
75.57492684764797,76.10889387509093
76.7999022277385,75.51990385727619
84.91293543158781,83.80503673252647
77.1812666874608,79.51149796507893
79.71830179720031,77.37229730264757
85.83420307036292,88.71989200298897
88.15581521544804,87.0297826313839
85.98053785775018,88.45586040615729
75.37378145474699,78.31211754961872
76.99051048785375,76.21166541622902
