RAEKE+AD,KSP+AD
96.05862928254822,96.39506855720725
95.19616876638938,94.23041498378846
96.97869036122536,95.82620428176433
96.61157910089989,95.78721078717663
96.00551207992063,95.52106103421757
95.42835118320191,94.55323522867639
94.11979870488861,93.02918465888855
91.8622537027063,89.80225230926506
94.119527895428,93.33692210520806
97.37467226807831,97.11147568904505
92.20544601846863,92.26336510479277
94.02084390300456,93.05851172929856
92.72515710500514,92.39887908964967
95.53888198251967,93.50814385970882
94.65110264773726,93.05831367482465
94.01419701304587,92.15051389953176
96.788020013394,96.32541710238225
96.70832520660537,95.6504617791524
94.82433770652676,94.267332892854
95.85801614837264,94.84413908861899
94.84977697595524,93.4591383061891
95.63660108714217,95.23186299642538
95.68429077601544,94.53301639901316
92.35957893710616,90.9784633560878
94.93596901752309,93.56317575805365
95.56752395068924,95.38994986927261
96.91097136572915,94.49459901423441
92.78548332814272,90.96100971765306
93.35004613467027,92.10887133357994
94.55089667736132,93.4457446091477
94.04049414059146,92.8602981635736
94.9974471735163,93.86006517139249
91.73846075942515,90.29991895450723
94.17097046357613,93.09110591755322
95.58692044706194,94.31182517352575
95.95159510524367,95.24940691455986
90.72422750286748,89.28513472697631
95.87281616072494,94.50685226260755
92.40457459825086,91.0917998678298
94.5445351200406,93.31000172948592
92.76359406878878,90.59327740528714
95.23006485712685,93.97258884986465
94.74794365189715,94.46306615898405
96.48664813488853,94.83622453587576
97.40488684434352,94.93786406371572
93.81002985369817,92.74281847476632
95.79473999551814,94.79222843183035
93.16980997295833,90.21280002386642
93.79433923164319,93.01532552839788
93.16970571027599,92.77332774482905
95.70286941131137,93.61425974469786
94.3685631430771,93.87388205474952
94.69804229006193,93.89653394739358
95.71264657743693,94.10526132788522
94.3606165776312,92.93875219896582
95.54223926576255,94.9139930897743
90.9134618006314,89.14007862139202
93.66908143855103,92.89756105270929
95.03586473977359,94.6341332495619
95.15213576819494,94.76499344473471
92.94366950184047,92.56600865559923
91.66208821888281,90.74380078292327
93.26073196576839,92.1058372878141
94.16460184750748,93.66126528358767
94.83416317803122,94.53659066001873
94.77335246439225,93.47118496279306
91.98002799678932,90.0354150902064
95.03469450629532,94.18447045433446
94.54273547060285,93.78312210386323
97.09499683682242,96.56083938643361
94.71658159201745,93.92148520171129
94.74960301770624,93.70320069185479
95.16495138350261,94.45545788743358
93.66688887981927,92.98867182947181
96.19885971731473,95.14728282711185
