RAEKE+AD,KSP+AD
1.3556717299354741,1.5305055961090184
1.437930742669429,1.4523248925573802
1.3581358592609547,1.5054333615370084
1.3195204942082006,1.538339666546125
1.421582148582551,1.411921317893079
1.501428398686156,1.579465931327099
1.8866084454112209,1.8300230048850568
1.8492267744747932,1.88075606223893
1.6668706078001032,1.6057281527937655
1.3460404161081587,1.2794901849473705
1.881337480363228,2.0890791594771483
1.44106985961924,1.5221479902468318
1.7569102108930874,1.8100264045967644
1.4659169003649275,1.4969494050906902
1.6458080042058703,1.5075203980718133
1.465094279476379,1.5470681488037172
1.485789221721055,1.4876792102000143
1.3766858360957048,1.4151578398542475
1.3465650425413622,1.590737216869647
1.3342301062112394,1.4274807969376282
1.3852500025238075,1.503068497270178
1.4661010874347045,1.6766857129635442
1.337453290813368,1.684463483287032
1.7496295720474973,2.0227556486334826
1.3773301099750204,1.733107971636862
1.4685150703952226,1.6524822149687248
1.30942398614057,1.47494231777791
1.761229232990667,1.5331142668693014
1.622365086884629,1.6303732555792778
1.494954269404516,1.544744572387002
1.5343056500323096,1.82130162047821
1.3932225100293611,1.412193623019871
1.73721635282192,2.1114768010916536
1.4951427595598414,1.6381121524549032
1.378681556920621,1.540655788992778
1.3014946884335898,1.4328350669819507
1.5794606279310226,1.8513432580156173
1.3274863040692308,1.376204477973864
1.6911964884658761,1.6486160345511542
1.6406688313685613,1.5277585039783634
1.467998310280387,1.973120139849467
1.5392922406566087,1.4378187817709176
1.4676309066162045,1.4516282027062772
1.4388713348235795,1.4257933295572796
1.374370479144062,1.431709309759769
1.4282484312880834,1.6694096250107497
1.4835441795138449,1.555824724513089
1.6198411827672494,2.017450814649966
1.5631394962678118,1.593889793946997
1.5112470117259267,1.6700245838898875
1.471208935089455,1.4977704647954837
1.5141463230032721,1.498467513189644
1.4306604925187818,1.494544869514917
1.304558815177703,1.4561056012544322
1.5506286660635147,1.6787122235448213
1.3931795045154014,1.4779844028863098
1.5728014434733912,1.8729959809494543
1.547500542840837,1.6284637125003312
1.30293736140384,1.6111685492720969
1.3600249223694985,1.3813077853970197
1.7694624305770144,1.5586379102206225
1.6512124952015856,1.8075644475195614
1.6738161259748405,1.6829427765229037
1.5340028064106057,1.4357639135248732
1.411728353071661,1.5306691457822332
1.4742380757024451,1.4070538742869985
2.171391039470013,2.562515684838579
1.3804756550166466,1.3268270931677564
1.639897191487242,1.575042317202573
1.221479680346352,1.3594699059159119
1.2542312030550855,1.4612956562667834
1.5538989118563804,1.5786835359658689
1.3546396611988984,1.64429997547479
1.383587800149173,1.6344941631118908
1.2116730364224482,1.3228783909476916
