RAEKE+LB,RAEKE+AD,KSP+LB,KSP+AD
1.481750036438,0.9000000000000001,1.4817500364380003,0.8999999999999999
1.45021690179,0.9000000000000001,1.45021690179,0.9
1.46200568657,0.9,1.4620056865700002,0.9
1.2926728110110002,0.7999999999999999,1.2926728110110002,0.7999999999999999
1.1590192869855,0.701542918731,1.1590192869855003,0.701542918731
1.2394124174975,0.8,1.2394124174975003,0.8000000000000002
1.1325223495679997,0.6945729513050001,1.132522349568,0.6945729513050001
1.1330647554860003,0.6957448597260001,1.133064755486,0.6957448597260001
1.2092375145045,0.8,1.2092375145045,0.7999999999999999
1.2538378633265,0.7999999999999999,1.2538378633265,0.7999999999999999
1.2678377145485,0.7999999999999999,1.2678377145485002,0.8
1.28343543354,0.8,1.2834354335400002,0.8
1.385666916823,0.896531084952,1.3856669168230007,0.8965310849520001
1.4104248338715002,0.8999999999999999,1.4104248338715004,0.9000000000000001
1.440463410532,0.9,1.4404634105320004,0.8999999999999999
1.2970110366269998,0.7999999999999999,1.297011036627,0.7999999999999998
1.280519125141,0.7999999999999998,1.280519125141,0.7999999999999999
1.4824313853895,0.9,1.4824313853895006,0.9
1.514296335858,0.9000000000000001,1.5142963358580002,0.9000000000000001
1.558747912467,0.9500000000000001,1.5587479124670003,0.95
1.5833523228150002,0.95,1.5833523228150004,0.95
1.4867887277124998,0.9000000000000001,1.4867887277124998,0.9
1.5921031697924999,0.95,1.5921031697925,0.95
1.6145514014270002,0.9894531145450003,1.6145514014270006,0.9894531145450003
1.5637000653489996,0.95,1.5637000653490005,0.95
1.6419426484985,1.0545731645960001,1.6419426484985002,1.0545731645960001
1.542364177487,0.95,1.5423641774869996,0.95
1.4274447996614998,0.8999999999999999,1.4274447996615,0.8999999999999999
1.2955277004030001,0.7999999999999999,1.2955277004030008,0.8
1.271269571256,0.7999999999999999,1.271269571256,0.8
1.6127174459935,0.95,1.6127174459935,0.95
1.7429023457210002,1.2131270286070002,1.7429023457209991,1.2131270286070002
1.9166947410769999,1.6192448719850001,1.9166947410769999,1.6059629514496667
2.3182597669229996,2.3346858036290006,2.3182597669229996,2.430119108133667
2.1865423196064993,2.0290518261860004,2.1865423196064997,2.1575359950283333
2.2011628937155,2.096442738437333,2.2011628937155,2.1811922318613335
2.3882096788805,2.361135158766,2.3882096788805014,2.571111868438
2.1149135377035,1.8719492759543335,2.1149135377034995,2.0505376938393334
2.1962399467565,2.070191465039333,2.1962399467565006,2.147130385598333
2.2997626665514996,2.3145967802243335,2.2997626665515005,2.4083818023656667
1.8611201508114998,1.4742983693420002,1.8611201508115,1.4742983693420002
2.356027409411,2.25022692283,2.3560274094109994,2.496145764987334
2.0041652954069997,1.794639705782333,2.0041652954069993,1.7560702457963333
1.9175546413275,1.621712463074,1.9175546413275004,1.564187965916
1.9012796424685001,1.727115418421,1.9012796424685,1.641986234604
1.7245283447975002,1.2952063742939999,1.7245283447975,1.295206374294
1.6626693570614999,1.1468465282920004,1.6626693570614994,1.1468465282920002
1.6462969847049997,1.1378775763650002,1.6462969847050006,1.1378775763650002
1.6338967298285,1.106313997042,1.6338967298284999,1.106313997042
1.6665333214295,1.1860638576680003,1.6665333214295004,1.1860638576680005
1.710320328828,1.24813307695,1.7103203288280007,1.2481330769499999
1.4388821664915,0.9000000000000001,1.4388821664915004,0.9000000000000001
1.3319663606100003,0.8,1.3319663606099996,0.8
1.4658431085829997,0.8999999999999999,1.4658431085829997,0.9000000000000001
1.6771358075964995,1.117851296173,1.6771358075965,1.1178512961730003
1.953287657233,1.8361198132589998,1.9532876572330002,1.7441994087403336
2.1378038691069996,2.0721099001943335,2.1378038691069996,2.2246586157363333
2.1956099723415,2.2182046785000002,2.1956099723415003,2.3243807616003336
2.367193934776499,2.4523287207769995,2.3671939347765005,2.639340088272
2.376314368527,2.2090649465789998,2.3763143685270003,2.4857445993210003
2.4029819948985,2.2855928579169995,2.4029819948985,2.5469709970510004
2.3539591652829994,2.217500166391,2.3539591652830008,2.420014050954667
2.3595940871305,2.265045753717,2.3595940871305,2.463702283729333
2.028177507394,1.7792987578693331,2.0281775073939996,1.734682177042
1.9301876618670002,1.573687601677,1.930187661867,1.4968603971050005
1.8622025256395003,1.4169049336300001,1.8622025256395,1.4169049336300001
1.915473261738,1.5358211567320006,1.9154732617380004,1.5358211567320001
1.8469599237939998,1.3749959889400003,1.8469599237940004,1.37499598894
1.854969034606,1.396762729825,1.8549690346059997,1.396762729825
1.7529667337035,1.1601048923910002,1.7529667337035006,1.1601048923910002
1.5730080798625,0.9,1.5730080798624997,0.9
1.59390284141,0.9460901224179998,1.5939028414099998,0.9460901224179998
1.5861908368814999,0.95,1.5861908368815,0.95
1.600770742281,0.9551372339920003,1.6007707422810002,0.9551372339920001
1.4413099882995,0.9,1.4413099882995002,0.9
1.367359937197,0.8513711676360002,1.3673599371970002,0.8513711676359998
1.2937773228040002,0.7999999999999999,1.293777322804,0.7999999999999998
1.3961802823129998,0.9000000000000001,1.3961802823130003,0.9
1.589682403916,0.95,1.5896824039160002,0.95
1.9760784354000003,1.84929406002,1.9760784354,1.7726658882853337
2.24453182147,2.229087965872667,2.2445318214699994,2.3694895785733334
2.23738059623,2.240014940020167,2.2373805962300004,2.346304258126333
2.4928931286165,2.6539864308760004,2.4928931286164997,2.8772565567530006
2.312805873697,2.3434773048173327,2.312805873697,2.5060115132196663
2.2527100116625,2.2093410406693335,2.2527100116625003,2.383952354507333
2.333737896646,2.333095150995,2.333737896646,2.4908634618826664
