RAEKE+LB,RAEKE+AD,KSP+LB,KSP+AD
1.4817500364380003,2.013500072876,1.4817500364380003,2.013500072876
1.4502169017900002,1.95043380358,1.4502169017900004,1.9504338035799995
1.4620056865700004,1.9740113731400002,1.4620056865700002,1.97401137314
1.2926728110110004,1.6353456220220002,1.2926728110110006,1.6353456220220004
1.1590192869855003,1.3680385739710001,1.1590192869855003,1.368038573971
1.2394124174975003,1.528824834995,1.2394124174975003,1.528824834995
1.1325223495680001,1.315044699136,1.1325223495680004,1.3150446991359999
1.1330647554860003,1.316129510972,1.1330647554860003,1.316129510972
1.2092375145045,1.4684750290089998,1.2092375145045002,1.4684750290089998
1.2538378633265,1.557675726653,1.2538378633265004,1.5576757266529997
1.2678377145485002,1.5856754290970005,1.2678377145485002,1.5856754290969999
1.2834354335400002,1.61687086708,1.2834354335400002,1.6168708670800003
1.385666916823,1.8213338336460003,1.3856669168230007,1.821333833646
1.4104248338715002,1.870849667743,1.4104248338715004,1.870849667743
1.440463410532,1.9328634044609996,1.440463410532001,1.930926821064
1.297011036627,1.644022073254,1.2970110366270002,1.644022073254
1.2805191251410002,1.611038250282,1.2805191251410002,1.611038250282
1.4824313853895001,2.014862770779,1.4824313853895006,2.0148627707789997
1.5142963358580002,2.0785926717159997,1.5142963358580004,2.0785926717159997
1.558747912467,2.167495824934,1.5587479124670003,2.167495824934
1.5833523228150004,2.21670464563,1.5833523228150004,2.2167046456300006
1.4867887277125003,2.023577455425,1.4867887277124998,2.023577455425
1.5921031697925,2.2342063395850005,1.5921031697925,2.2342063395849996
1.6145514014270004,2.2791028028539997,1.6145514014270006,2.279102802854001
1.5637000653490003,2.177400130698,1.5637000653490005,2.177400130698
1.6419426484985002,2.3338852969970003,1.6419426484985007,2.3338852969970003
1.542364177487,2.1347283549739995,1.5423641774870003,2.134728354974
1.4274447996615,1.9048895993229997,1.4274447996615003,1.904889599323
1.2955277004030001,1.6410554008060003,1.2955277004030008,1.6410554008060003
1.2712695712560003,1.5925391425120001,1.2712695712560005,1.5925391425120001
1.6127174459935003,2.275434891987,1.6127174459935008,2.2754348919869996
1.7429023457210007,2.535804691442,1.7429023457210007,2.535804691442
1.916694741077,2.869670770402,1.9166947410770003,2.8696707704019997
2.3182597669230005,3.240486373030333,2.3182597669230005,3.2608062345013327
2.1865423196065,3.178195080317999,2.186542319606501,3.200019736124666
2.2011628937155,3.1866664728496663,2.2011628937155,3.199060323159666
2.3882096788805005,3.291786309727666,2.3882096788805014,3.321308917349666
2.1149135377035,3.043755028667667,2.114913537703501,3.1176180048693336
2.1962399467565,3.157375274550667,2.1962399467565006,3.202308568474667
2.2997626665515,3.2094400326143333,2.299762666551501,3.278789852278667
1.8611201508115,2.7722403016229995,1.8611201508115003,2.772240301623
2.3560274094110003,3.301750983765333,2.356027409411001,3.3546905530133344
2.004165295407,2.9931090209159996,2.004165295407,2.993109020916
1.9175546413275002,2.863186901534333,1.9175546413275004,2.8655455248850004
1.9012796424685001,2.841076601722,1.9012796424685003,2.8410766017219995
1.7245283447975004,2.499056689595,1.7245283447975013,2.4990566895950006
