ALL+LB,ALL+AD,RAEKE+LB,RAEKE+AD,KSP+LB,KSP+AD
1.3247445225338648,2.2993205361292914,1.3258600171385482,2.403637872981071,1.3723771259273425,2.4493585300649277
1.3025639592566214,2.09077290652256,1.3035682224583078,2.3089979262989884,1.361884835067522,2.3625173748431356
1.3101183802389644,2.1883230117673254,1.3112228974001288,2.3093715335238505,1.3321236306179434,2.3185807241200562
1.3191278359619223,2.4288474191095117,1.3201815550827098,2.3123021333641973,1.3270065838322869,2.4288474191095117
1.349075635285112,2.224209581123843,1.350203614964234,2.1908554682366814,1.3683396878035432,2.1694896976639932
1.2824987833408872,1.9937173905723249,1.2835403608018026,2.244596681335583,1.3749527825060686,2.242285801903243
1.3246837225184716,2.451107468435666,1.3257488428084838,2.4144086746683397,1.3474919544817339,2.122238728872515
1.3245096923820117,1.9994650615165726,1.3255978312361036,2.078516601052418,1.41687747278282,2.232174557404233
1.344576679745654,2.1687523916959224,1.345713180353394,2.2494893369927373,1.3541117370330267,2.530757314041468
1.3654368408747979,2.5333872525448937,1.3665530059273503,2.5641805739963557,1.4547206229643879,2.5609356669749266
1.3720564873927201,2.1704782141881127,1.373185937941523,2.279384059783095,1.4451856939517844,2.4607211974669174
1.3810289260254371,2.67673033426886,1.3822161092441125,2.3661687380329166,1.3810289260254371,2.1869887731450772
1.3754079120822795,2.3255831959285715,1.376572489385453,2.343893239683884,1.3776054144422276,2.1164475326644823
1.366426951664567,2.469182496942726,1.367578891462021,2.6207491953613022,1.3664269516645668,2.1129132467181844
1.31740246339153,2.1928367633407033,1.3184896527036793,2.362013315511386,1.31740246339153,2.091395419349717
1.3546767727671472,2.2116240289954927,1.3558256703770135,2.274570529500834,1.4451302893517515,2.2672814736935103
1.3250826816531525,2.4335519184850876,1.3261898238834915,2.455160641872442,1.3633585098165268,2.1348268134254074
1.350473973281178,2.1658384311816965,1.3516160543356155,2.524112225697009,1.3504739732811781,2.5239956969932673
1.3381303715526172,2.4323746330044513,1.339233477298988,2.4909491930233116,1.4183598065745024,2.450328463786116
1.3339509762709132,2.4089997655200763,1.3350091491765292,2.2692293709749967,1.375074013654596,2.4099999573565642
1.355104395423079,2.299540172118556,1.3561578447563678,2.504307410821892,1.38008765105443,2.250731990012047
1.3137583919953548,1.9963638027647348,1.3148604637194172,2.0637958675935955,1.3461502955578093,2.1907034035250375
1.2752003154871565,1.9692473439787261,1.2762587672295358,1.9643325304022725,1.365039765363448,2.235088173435889
1.3872327901129684,2.357890770201093,1.3884022114904944,2.3033018685540023,1.3872327901129688,2.3159935278307104
1.3426692122583972,2.2363658432711144,1.3437480235045418,2.4460531523821456,1.4146965699382146,2.2730132033659256
1.344176171576316,2.4273135825473267,1.3452573071689873,2.3538456829024303,1.3884574101811065,2.2025692870504514
1.3189241325926702,2.1747555058104924,1.3199888455832556,2.297638207224535,1.418098276761432,2.317667909383693
1.3783146962031891,2.641511744999911,1.3795011091526788,2.4699965667521124,1.3913602186821927,2.3835028580919135
1.3433132080877037,2.5256977417872064,1.3444010721883655,2.357723311744538,1.4882034927727654,2.3761583819083714
1.3551819808678407,2.304975453526028,1.3563041933769495,2.300143327361953,1.4298758513446528,2.5732262423852648
1.3412444309319915,2.4617473734789894,1.3423583189529988,2.519854901425405,1.4254488249475195,2.3225749055689713
1.329961093200733,2.308001058127035,1.3310563879312556,2.3509020272823533,1.3758295100939777,2.2044763334792603
1.3656726432692319,2.2385639343637918,1.3668065830561131,2.5333400159882844,1.3964277498998545,2.4481088757334395
1.3302817136493381,2.292897181240959,1.3313668734189712,2.2320059185635905,1.386742943158498,2.2059107047941096
1.4036608450156436,2.6584565424290796,1.4048391764591739,2.400027783132356,1.4036608450156436,2.5951920158592165
1.3665238835262141,2.2690353870266717,1.3676846990118094,2.5948591353930692,1.3798540661907763,2.594824826052984
1.4159466521539992,2.713527277192001,1.4171130927300035,2.5339150438936118,1.4159466521539994,2.542532807091927
1.393053940444171,2.4701108972189547,1.3941297657433709,2.519982968883574,1.4292690786727358,2.330297421680213
1.3576677046716787,2.5663798406818734,1.3588321833605161,2.585742754216819,1.376806379564942,2.2662385536517897
1.3612418438075746,2.298843259118706,1.3624178290663473,2.5164759274986648,1.4695661790934715,2.44943229264384
1.3670105321243589,2.553573252858643,1.3681173116789611,2.454709428683789,1.3961561208653284,2.2575800402822317
1.3047481503558098,2.2734962024047007,1.3058364444297281,2.1285299740434014,1.3382266264265752,2.237315905983674
1.3332994032939205,2.292520812575177,1.3344390279647502,2.292926291482981,1.4310206486962636,2.4858430182059696
1.3367692422722743,2.0784769422912333,1.337903418224786,2.5019957276008897,1.3441901663875926,2.2977348342759853
1.4173624311062056,2.6525080550544082,1.4185714799691151,2.7332439516361178,1.5441661462959266,2.5648882113398015
1.3585023359485995,2.547961022928738,1.3596460536286785,2.5890437671987305,1.4709399308045852,2.5692072197490035
1.3505686256507203,2.524478219525516,1.3517324691594506,2.526950219155686,1.3569481708434687,2.201946441982595
1.3607567178038935,2.0468417231744893,1.3618989829329486,2.3799508394956663,1.413489989325837,2.3905486744936906
